Machine Name,Server IP Addresses,Discovery Source,Server Host Type,SQL Instance,SQL Database name,Database size (MB),Compatibility Level,DB Status,SQL Version,SQL Edition,Total DB size (MB),Failover Cluster,Availability Group,Server Cores,Server Storage,Server Memory (MB),Server Disks,Operating System,Last updated time,First discovered time
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,TSW,OLRCUSTOM,15594 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),466045 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:33 AM,2/11/2025 8:44:25 PM
HICU6503C,192.168.130.219;fe80::f174:7a1c:a4b5:1be9;192.168.130.218;fe80::e8c2:bc78:3f4d:c42f;10.17.17.190;10.17.17.188;10.17.17.185;10.17.17.183;10.17.17.182;10.17.17.149;10.17.17.139;10.17.17.104;fe80::3dd6:fd96:4013:9624,HICU6503C,Physical,TSW,OLRENTERPRISE,28 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),364564 MB,Yes,No,28,8793.93500089645 GB,524015 MB,37,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:05 AM,2/11/2025 8:44:25 PM
HICP6561A,169.254.1.236;fe80::38c2:239d:d9eb:6a9b;192.168.130.143;fe80::78f9:7c71:ef00:88d9;192.168.130.144;fe80::ceb0:dc10:ecb7:3117;10.17.19.183;10.17.19.167;10.17.19.132;10.17.19.128;10.17.19.124;10.17.19.84;10.17.19.81;10.17.19.72;10.17.19.51;10.17.18.161;10.17.18.110;10.17.18.109;10.17.18.108;10.17.18.107;10.17.18.64;10.17.18.49;10.17.18.41;10.17.19.149;fe80::9680:e600:12a2:af76,HICP6561A,Physical,TEPO,EPO510SQL,6992 MB,CompatLevel150,Online,SQL Server 2019,Enterprise Edition: Core-based Licensing (64-bit),19658 MB,Yes,No,24,34866.2602901459 GB,524015 MB,171,Microsoft Windows Server 2019 Standard,2/20/2025 11:13:30 AM,2/11/2025 8:44:31 PM
HICU6503C,192.168.130.219;fe80::f174:7a1c:a4b5:1be9;192.168.130.218;fe80::e8c2:bc78:3f4d:c42f;10.17.17.190;10.17.17.188;10.17.17.185;10.17.17.183;10.17.17.182;10.17.17.149;10.17.17.139;10.17.17.104;fe80::3dd6:fd96:4013:9624,HICU6503C,Physical,TSW,LiteSpeedLocal,2550 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),364564 MB,Yes,No,28,8793.93500089645 GB,524015 MB,37,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:24 AM,2/11/2025 8:44:32 PM
HICU6503C,192.168.130.219;fe80::f174:7a1c:a4b5:1be9;192.168.130.218;fe80::e8c2:bc78:3f4d:c42f;10.17.17.190;10.17.17.188;10.17.17.185;10.17.17.183;10.17.17.182;10.17.17.149;10.17.17.139;10.17.17.104;fe80::3dd6:fd96:4013:9624,HICU6503C,Physical,ECOM,LiteSpeedLocal,191 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),234598 MB,Yes,No,28,8793.93500089645 GB,524015 MB,37,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:45 AM,2/11/2025 8:44:33 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_qa_test_library_db0,208 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:07 AM,2/11/2025 8:44:33 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,TSWACQ,OLCCTempData,1990 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),219555 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:14:00 AM,2/11/2025 8:44:36 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,QCM,olcc_tsw_db,25 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),4314 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:39 AM,2/11/2025 8:44:37 PM
HICS6500A,192.168.130.216;fe80::b1b0:6531:be49:f5d9;192.168.130.217;fe80::a3:7202:14c3:3cf0;169.254.2.128;fe80::cf8:efde:cf45:ad48;10.17.19.180;10.17.19.177;10.17.19.134;10.17.19.43;10.17.19.15;10.17.19.10;10.17.19.9;10.17.19.175;fe80::481a:f40e:f21e:58ec,HICS6500A,Physical,STG4,LiteSpeedLocal,336 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),994 MB,Yes,No,28,13072.7524924278 GB,524015 MB,29,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:17 AM,2/11/2025 8:44:39 PM
HICQ6501A,192.168.130.16;fe80::5c3:7420:304a:ccea;192.168.130.15;fe80::a510:41fa:92e5:1a8f;10.17.83.155;10.17.83.143;10.17.83.142;10.17.83.140;10.17.83.137;10.17.83.136;10.17.83.131;10.17.83.92;10.17.82.87;10.17.83.88;fe80::c583:8427:d36b:6cee,HICQ6501A,Physical,ECOM,OLCCTempData,1575 MB,CompatLevel100,Online,SQL Server 2008,Developer Edition (64-bit),242284 MB,Yes,No,24,8587.05087661743 GB,392943 MB,38,Microsoft Windows Server 2012 R2 Standard,2/20/2025 11:13:46 AM,2/11/2025 8:44:45 PM
